Date : 2021-08-04 17:37:33
Directory : c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\modlar
Total : 71 files,  1757 codes, 268 comments, 348 blanks, all 2373 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| lib\start\navigation\routes                                                                                                       |          1 |         25 |          0 |          3 |         28 |
| lib\start\preferences                                                                                                             |          1 |         22 |          2 |          3 |         27 |
| lib\start\theme                                                                                                                   |          1 |         62 |         15 |          5 |         82 |
| lib\start\widgets                                                                                                                 |          1 |         14 |          0 |          3 |         17 |
| web                                                                                                                               |          2 |         49 |         15 |          6 |         70 |
| windows                                                                                                                           |         12 |        483 |         92 |        152 |        727 |
| windows\flutter                                                                                                                   |          2 |          8 |          7 |          9 |         24 |
| windows\runner                                                                                                                    |         10 |        475 |         85 |        143 |        703 |
+-----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                          | language   | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\modlar\README.md                                                     | Markdown   |         10 |          0 |          7 |         17 |
| c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\modlar\android\app\build.gradle                                      | Groovy     |         46 |          3 |         11 |         60 |
| c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\modlar\android\app\src\debug\AndroidManifest.xml                     | XML        |          4 |          3 |          1 |          8 |
| c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\modlar\android\app\src\main\AndroidManifest.xml                      | XML        |         30 |         11 |          1 |         42 |
| c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\modlar\android\app\src\main\res\drawable-v21\launch_background.xml   | XML        |          4 |          7 |          2 |         13 |
| c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\modlar\android\app\src\main\res\drawable\launch_background.xml       | XML        |          4 |          7 |          2 |         13 |
| c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\modlar\android\app\src\main\res\values-night\styles.xml              | XML        |          9 |          9 |          1 |         19 |
| c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\modlar\android\app\src\main\res\values\styles.xml                    | XML        |          9 |          9 |          1 |         19 |
| c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\modlar\android\app\src\profile\AndroidManifest.xml                   | XML        |          4 |          3 |          1 |          8 |
| c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\modlar\android\build.gradle                                          | Groovy     |         27 |          0 |          5 |         32 |
| c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\modlar\android\gradle.properties                                     | Properties |          3 |          0 |          1 |          4 |
| c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\modlar\android\gradle\wrapper\gradle-wrapper.properties              | Properties |          5 |          1 |          1 |          7 |
| c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\modlar\android\settings.gradle                                       | Groovy     |          8 |          0 |          4 |         12 |
| c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\modlar\ios\Runner\AppDelegate.swift                                  | Swift      |         12 |          0 |          2 |         14 |
| c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\modlar\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json   | JSON       |        122 |          0 |          1 |        123 |
| c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\modlar\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json | JSON       |         23 |          0 |          1 |         24 |
| c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\modlar\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md     | Markdown   |          3 |          0 |          2 |          5 |
| c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\modlar\ios\Runner\Base.lproj\LaunchScreen.storyboard                 | XML        |         36 |          1 |          1 |         38 |
| c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\modlar\ios\Runner\Base.lproj\Main.storyboard                         | XML        |         25 |          1 |          1 |         27 |
| c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\modlar\ios\Runner\Runner-Bridging-Header.h                           | C++        |          1 |          0 |          1 |          2 |
| c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\modlar\l10n.yaml                                                     | YAML       |          3 |          0 |          0 |          3 |
| c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\modlar\lib\UI\README.md                                              | Markdown   |          2 |          0 |          0 |          2 |
| c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\modlar\lib\UI\components\errors\404.dart                             | Dart       |         21 |          0 |          4 |         25 |
| c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\modlar\lib\UI\components\locale\changeLocale.dart                    | Dart       |         30 |          0 |          4 |         34 |
| c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\modlar\lib\UI\components\theme\colorPicker.dart                      | Dart       |         50 |          0 |          4 |         54 |
| c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\modlar\lib\UI\screens\testing\debug\logsUI.dart                      | Dart       |         22 |          5 |          5 |         32 |
| c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\modlar\lib\UI\screens\testing\home\helloWorld.dart                   | Dart       |         30 |          0 |          4 |         34 |
| c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\modlar\lib\UI\screens\testing\theme\newTheme.dart                    | Dart       |         82 |          2 |          8 |         92 |
| c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\modlar\lib\config\README.md                                          | Markdown   |          3 |          0 |          0 |          3 |
| c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\modlar\lib\config\l10n\app_en.arb                                    | JSON       |         10 |          0 |          2 |         12 |
| c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\modlar\lib\config\l10n\app_no.arb                                    | JSON       |          6 |          0 |          2 |          8 |
| c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\modlar\lib\config\logs\logger.dart                                   | Dart       |         14 |          0 |          3 |         17 |
| c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\modlar\lib\config\routes\routes.dart                                 | Dart       |         12 |          0 |          3 |         15 |
| c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\modlar\lib\config\theme\themes.dart                                  | Dart       |          9 |          0 |          2 |         11 |
| c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\modlar\lib\extensions\color\asExportableString.dart                  | Dart       |          7 |          0 |          2 |          9 |
| c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\modlar\lib\extensions\list\rawListString.dart                        | Dart       |          9 |          0 |          1 |         10 |
| c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\modlar\lib\extensions\map\asTheme.dart                               | Dart       |         10 |          0 |          3 |         13 |
| c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\modlar\lib\extensions\themeData\asMap.dart                           | Dart       |         10 |          0 |          3 |         13 |
| c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\modlar\lib\logic\Localization\state\locale.dart                      | Dart       |         23 |          1 |          7 |         31 |
| c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\modlar\lib\logic\logs\output\logOutput.dart                          | Dart       |         25 |          2 |          8 |         35 |
| c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\modlar\lib\logic\logs\printer\logService.dart                        | Dart       |         12 |          0 |          3 |         15 |
| c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\modlar\lib\logic\navigation\gen\generateRoute.dart                   | Dart       |         36 |          1 |          4 |         41 |
| c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\modlar\lib\logic\navigation\mapping\findWidget.dart                  | Dart       |         12 |          0 |          3 |         15 |
| c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\modlar\lib\logic\navigation\observers\navigationWatcher.dart         | Dart       |         12 |          1 |          6 |         19 |
| c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\modlar\lib\logic\navigation\routes\routes.dart                       | Dart       |          8 |          0 |          4 |         12 |
| c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\modlar\lib\logic\theme\custom\customTheme.dart                       | Dart       |         10 |          3 |          3 |         16 |
| c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\modlar\lib\logic\theme\themes.dart                                   | Dart       |         62 |          3 |         13 |         78 |
| c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\modlar\lib\main.dart                                                 | Dart       |         44 |         24 |          7 |         75 |
| c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\modlar\lib\start\configureApp.dart                                   | Dart       |         14 |          0 |          2 |         16 |
| c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\modlar\lib\start\localization\configureLocalization.dart             | Dart       |         42 |          0 |          5 |         47 |
| c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\modlar\lib\start\logs\configerLogger.dart                            | Dart       |         40 |          2 |          3 |         45 |
| c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\modlar\lib\start\navigation\configureNavigation.dart                 | Dart       |         26 |          0 |          3 |         29 |
| c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\modlar\lib\start\navigation\routes\configureRoutes.dart              | Dart       |         25 |          0 |          3 |         28 |
| c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\modlar\lib\start\preferences\configureSharedPreferencesPlugins.dart  | Dart       |         22 |          2 |          3 |         27 |
| c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\modlar\lib\start\theme\configureTheme.dart                           | Dart       |         62 |         15 |          5 |         82 |
| c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\modlar\lib\start\widgets\configureInitialization.dart                | Dart       |         14 |          0 |          3 |         17 |
| c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\modlar\pubspec.yaml                                                  | YAML       |         21 |         45 |          8 |         74 |
| c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\modlar\web\index.html                                                | HTML       |         26 |         15 |          5 |         46 |
| c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\modlar\web\manifest.json                                             | JSON       |         23 |          0 |          1 |         24 |
| c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\modlar\windows\flutter\generated_plugin_registrant.cc                | C++        |          3 |          3 |          4 |         10 |
| c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\modlar\windows\flutter\generated_plugin_registrant.h                 | C++        |          5 |          4 |          5 |         14 |
| c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\modlar\windows\runner\flutter_window.cpp                             | C++        |         48 |          4 |         13 |         65 |
| c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\modlar\windows\runner\flutter_window.h                               | C++        |         23 |          7 |         10 |         40 |
| c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\modlar\windows\runner\main.cpp                                       | C++        |         28 |          4 |         11 |         43 |
| c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\modlar\windows\runner\resource.h                                     | C++        |          9 |          6 |          2 |         17 |
| c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\modlar\windows\runner\run_loop.cpp                                   | C++        |         53 |          5 |          9 |         67 |
| c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\modlar\windows\runner\run_loop.h                                     | C++        |         22 |          7 |         12 |         41 |
| c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\modlar\windows\runner\utils.cpp                                      | C++        |         53 |          2 |         10 |         65 |
| c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\modlar\windows\runner\utils.h                                        | C++        |          8 |          6 |          6 |         20 |
| c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\modlar\windows\runner\win32_window.cpp                               | C++        |        183 |         15 |         48 |        246 |
| c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\modlar\windows\runner\win32_window.h                                 | C++        |         48 |         29 |         22 |         99 |
| Total                                                                                                                             |            |      1,757 |        268 |        348 |      2,373 |
+-----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
